rownames.camera_results.	camera_descr	PValue	FDR	camera_Phenotype	camera_genes
FLUID TRANSPORT%GOBP%GO:0042044	FLUID TRANSPORT	0.0152634108241401	0.0693994264080054	1	ADCY1,ADCY3,ADCY4,ADCY5,ADCY6,ADCY7,ADCY9,AQP11,AQP1,AQP3,AQP5,AQP6,AQP9,AVPR2,GNAS,HAS2,HYAL2,MYO5B,PDPN,PRKACA,PRKACB,PRKAR1A,PRKAR1B,PRKAR2A,PRKAR2B,RAB11A,RAB11FIP2,SLC26A6,SLC4A11
LONG-CHAIN FATTY ACID METABOLIC PROCESS%GOBP%GO:0001676	LONG-CHAIN FATTY ACID METABOLIC PROCESS	0.0154343667980432	0.070084301401646	1	ABCC1,ABCD1,ACAA1,ACOT1,ACOT2,ACOT4,ACOT7,ACOT8,ACOX1,ACSL1,ACSL3,ACSL4,ACSL5,AKR1C3,ALOX15B,ALOX5AP,ALOX5,ALOXE3,CBR1,CPT1A,CYP1B1,CYP2E1,CYP2J2,CYP2U1,CYP4F3,DAGLA,DAGLB,DPEP1,ELOVL1,ELOVL2,ELOVL3,ELOVL5,ELOVL6,EPHX2,FAAH2,FAAH,FADS1,FADS2,GGT1,GGT5,GPX1,GPX4,HPGDS,HPGD,HSD17B4,LTA4H,LTC4S,MAPKAPK2,MGLL,PLA2G4A,PLA2G4C,PNPLA8,PTGDS,PTGES3,PTGES,PTGIS,PTGR1,PTGS1,PTGS2,SCP2,SLC27A2,SLC27A4,SLC27A6,TBXAS1
POSITIVE REGULATION OF NEUTROPHIL MIGRATION%GOBP%GO:1902624	POSITIVE REGULATION OF NEUTROPHIL MIGRATION	0.0154541151743406	0.070084301401646	1	ADAM8,C1QBP,CAMK1D,CCL19,CCL21,CCR7,CD74,CXCL1,CXCL2,CXCL3,DAPK2,NCKAP1L,RAC1,RAC2,THBS4,TIRAP,XCL1
TRANSPORT OF THE SLBP INDEPENDENT MATURE MRNA%REACTOME DATABASE ID RELEASE 55%159227	TRANSPORT OF THE SLBP INDEPENDENT MATURE MRNA	0.0154591095696235	0.070084301401646	-1	AAAS,EIF4E,NCBP1,NCBP2,NUP107,NUP133,NUP153,NUP155,NUP160,NUP188,NUP205,NUP210,NUP214,NUP35,NUP37,NUP43,NUP50,NUP54,NUP62,NUP85,NUP88,NUP93,NUPL2,NXF1,POM121,RAE1,RANBP2,TPR
GENERAL TRANSCRIPTION REGULATION%PANTHER PATHWAY%P00023	GENERAL TRANSCRIPTION REGULATION	0.0154921041414742	0.0701656949708517	-1	BRF1,BRF2,GTF2A1,GTF2A2,GTF2B,GTF2E1,GTF2E2,GTF2F1,GTF2F2,GTF2H1,GTF2H3,GTF2H4,POLR2C,POLR2F,POLR2H,TAF11,TAF12,TAF1C,TAF2,TAF4,TAF6,TAF7,TAF8,TAF9B,TAF9,TBPL1
GM-CSF%IOB%GM-CSF	GM-CSF	0.0155168143021118	0.0702094458965582	-1	AKT1,BAD,BCAR1,BCL3,CASP8,CBL,CCT5,CHUK,CREB1,CRKL,CSF2RA,CSF2RB,DPYSL2,ELK1,EPHB2,EZR,FES,FOXO3,GAB1,GANAB,GNB2L1,GRB2,GSK3A,GSK3B,HCK,HNRNPH1,IKBKB,IRS2,JAK1,JAK2,JAK3,KIT,LYN,MAD2L1,MAP2K1,MAP2K2,MAP2K3,MAP2K6,MAPK14,MAPK1,MAPK3,MAPK7,MAPK8,MAPK9,NFKB2,NFKBIA,PARK7,PARP1,PDIA3,PFN1,PIK3R1,PIK3R2,PLA2G4A,PLCG1,PRDX3,PRKCA,PTPN11,PTPN6,PTPRC,PXN,RAF1,RPS6KA2,RPS6KB1,SH2B2,SHC1,SLC2A1,SPTAN1,STAM2,STAM,STAT1,STAT3,STAT5A,STAT5B,SYK,TEC,TGFB1,TGFBR3,VAV1,YES1,YWHAZ
COPII-COATED VESICLE BUDDING%GOBP%GO:0090114	COPII-COATED VESICLE BUDDING	0.0155533112252659	0.0702548217353565	-1	ANKRD28,AREG,BET1,CD59,CNIH2,CNIH3,COL7A1,CSNK1D,CTSC,CTSZ,CUL3,F5,F8,FOLR1,GOLGA2,GORASP1,GOSR2,KLHL12,LMAN1,MCFD2,NAPA,NSF,PPP6C,PREB,RAB1A,SAR1B,SCFD1,SEC13,SEC16A,SEC16B,SEC22B,SEC23A,SEC23IP,SEC24A,SEC24B,SEC24C,SEC24D,SEC31A,SERPINA1,STX5,TBC1D20,TFG,TGFA,TMED10,TMED2,TRAPPC10,TRAPPC1,TRAPPC2L,TRAPPC2,TRAPPC3,TRAPPC4,TRAPPC5,TRAPPC6A,TRAPPC6B,TRAPPC9,USO1,VAPA,VAPB
CELL JUNCTION ORGANIZATION%REACTOME DATABASE ID RELEASE 55%446728	CELL JUNCTION ORGANIZATION	0.0155569626693726	0.0702548217353565	1	ACTN1,ANG,ARHGEF6,CADM1,CADM3,CD151,CDH11,CDH12,CDH13,CDH1,CDH24,CDH2,CDH3,CDH5,CDH6,CLDN10,CLDN11,CLDN12,CLDN15,CLDN16,CLDN1,CLDN23,CLDN3,CLDN4,CLDN5,CLDN6,CLDN7,CLDN9,CRB3,CTNNA1,CTNND1,DST,F11R,FBLIM1,FERMT2,FLNA,FLNC,ILK,INADL,ITGA6,ITGB1,ITGB4,JUP,LAMA3,LAMB3,LAMC2,LIMS1,LIMS2,MPP5,PARD3,PARD6A,PARD6B,PARD6G,PARVB,PLEC,PRKCI,PVRL1,PVRL2,PVRL3,PVRL4,PVR,PXN,RSU1,TESK1,VASP
Aminoacyl-tRNA biosynthesis%KEGG%hsa00970	Aminoacyl-tRNA biosynthesis	0.0156189191708342	0.070429660214232	-1	AARS2,AARS,CARS2,CARS,DARS2,DARS,EARS2,EPRS,FARS2,FARSA,FARSB,GARS,HARS2,HARS,IARS2,IARS,KARS,LARS2,LARS,MARS2,MARS,MTFMT,NARS2,NARS,PARS2,PSTK,QARS,RARS2,RARS,SARS2,SARS,SEPSECS,TARS2,TARSL2,TARS,VARS2,VARS,WARS2,WARS,YARS2,YARS
REGULATION OF POTASSIUM ION TRANSMEMBRANE TRANSPORTER ACTIVITY%GOBP%GO:1901016	REGULATION OF POTASSIUM ION TRANSMEMBRANE TRANSPORTER ACTIVITY	0.0156409002179654	0.070429660214232	1	AKAP6,AKAP7,AKAP9,ANK2,ANK3,ATP1B1,ATP1B2,ATP1B3,CAB39,CACNA1D,CAV1,FHL1,GAL,KCNAB1,KCNE2,KCNE3,KCNG1,KCNQ1,KCNS1,NEDD4L,NEDD4,NOS1AP,RNF207,STK39,SUMO1,VAMP2,WWP2,YWHAE
BIOCARTA_MAL_PATHWAY%MSIGDB_C2%BIOCARTA_MAL_PATHWAY	BIOCARTA_MAL_PATHWAY	0.0156541805247232	0.070429660214232	-1	CDC42,DIAPH1,HRAS,LIMK1,MAL,MAP2K1,MAP2K2,MAP3K1,MAP4K2,MAPK1,MAPK3,MAPK8,RAC1,RAF1,RHOA,ROCK1,SRF
ANTERIOR/POSTERIOR PATTERN SPECIFICATION%GOBP%GO:0009952	ANTERIOR/POSTERIOR PATTERN SPECIFICATION	0.0156560680904949	0.070429660214232	1	ACVR2B,ATP6AP2,AXIN1,AXIN2,BASP1,BMP2,BMP4,BMPR2,CELSR2,COBL,CRB2,CTNNBIP1,DDIT3,DLL1,FOXA2,FZD5,GATA4,HHEX,HOXD3,HOXD8,KDM2B,LEF1,LFNG,LHX1,LRP6,NOG,OSR1,PBX3,PCSK5,PLD6,PPP2R3A,RGS19,SIX2,SKI,SMAD2,TBX3,TDRD5,TGFBR1,WT1
Fat digestion and absorption%KEGG%hsa04975	Fat digestion and absorption	0.0157181915244013	0.070641005261399	1	ABCA1,ACAT2,AGPAT1,AGPAT2,APOA1,CD36,CEL,DGAT1,DGAT2,GOT2,JMJD7-PLA2G4B,PLA2G12A,PLA2G2A,PLA2G2D,PLA2G4A,PLA2G6,PPAP2A,PPAP2B,PPAP2C,SCARB1,SLC27A4
SUMOYLATION OF RNA BINDING PROTEINS%REACTOME DATABASE ID RELEASE 55%4570464	SUMOYLATION OF RNA BINDING PROTEINS	0.015844012119471	0.071131801991928	-1	AAAS,BMI1,CBX2,CBX4,CBX8,HNRNPC,HNRNPK,NOP58,NUP107,NUP133,NUP153,NUP155,NUP160,NUP188,NUP205,NUP210,NUP214,NUP35,NUP37,NUP43,NUP50,NUP54,NUP62,NUP85,NUP88,NUP93,NUPL2,PCGF2,PHC1,PHC2,PHC3,POM121,RAE1,RANBP2,RING1,RNF2,SUMO1,SUMO2,TPR,UBE2I
NCRNA METABOLIC PROCESS%GOBP%GO:0034660	NCRNA METABOLIC PROCESS	0.0158578936916624	0.071131801991928	-1	AAAS,AARS2,AARS,ABT1,ADAR,ADAT1,ADAT2,AIMP1,AIMP2,ALKBH8,ANG,BCDIN3D,BOP1,BRF1,C14orf166,C1D,C2orf49,CARS2,CARS,CDK5RAP1,CDKAL1,CIRH1A,CLNS1A,CLP1,CPSF1,CPSF3L,CPSF4,CSTF2,CTU1,CTU2,DARS2,DARS,DCAF13,DDX1,DDX20,DDX27,DDX47,DDX52,DDX56,DEDD2,DGCR8,DICER1,DIS3L2,DIS3L,DIS3,DKC1,DTD1,DUS1L,DUS3L,DUS4L,EARS2,EEF1E1,ELAC1,ELAC2,ELL2,ELL3,ELL,ELP3,EMG1,EPRS,ERI1,EXOSC10,EXOSC2,EXOSC3,EXOSC4,EXOSC5,EXOSC6,EXOSC7,EXOSC8,EXOSC9,FAM98B,FARS2,FARSA,FARSB,FBL,FCF1,FDXACB1,FTSJ1,FTSJ2,FTSJ3,GARS,GATC,GEMIN4,GEMIN5,GEMIN6,GEMIN7,GTF3A,GTF3C1,GTF3C2,GTF3C3,GTF3C4,GTF3C5,GTF3C6,HARS2,HARS,HEATR1,IARS2,IARS,IMP3,IMP4,INTS10,INTS12,INTS1,INTS2,INTS3,INTS4,INTS5,INTS6,INTS7,INTS8,INTS9,KARS,LAGE3,LARS2,LARS,LCMT2,LRRC47,LSM6,MARS2,MARS,MEPCE,METTL1,METTL2A,METTL2B,METTL3,MOCS3,MPHOSPH6,MRM1,MRPL44,MRPS11,MRPS9,MYBL1,NARS2,NARS,NCBP1,NCBP2,NGDN,NHP2,NOB1,NOC4L,NOL11,NOL6,NOL8,NOL9,NOLC1,NOP14,NOP56,NOP58,NSUN2,NSUN3,NSUN4,NUDT16,NUP107,NUP133,NUP153,NUP155,NUP160,NUP188,NUP205,NUP210,NUP214,NUP35,NUP37,NUP43,NUP50,NUP54,NUP62,NUP85,NUP88,NUP93,NUP98,NUPL1,NUPL2,OSGEPL1,OSGEP,PARS2,PES1,PHAX,PIN4,PIWIL4,PLD6,POLG2,POLR1E,POLR2A,POLR2B,POLR2C,POLR2D,POLR2E,POLR2F,POLR2G,POLR2H,POLR2I,POLR2J,POLR2K,POLR2L,POM121,POP1,POP4,POP5,POP7,PPA1,PPA2,PRKRA,PRMT5,PTCD1,PUS1,PUS7,PWP2,QARS,QRSL1,QTRT1,QTRTD1,RAE1,RANBP2,RAN,RARS2,RARS,RCL1,RNASEK,RPAP2,RPF1,RPF2,RPL11,RPL14,RPL26,RPL35A,RPL35,RPL5,RPL7L1,RPL7,RPP14,RPP21,RPP25,RPP30,RPP38,RPP40,RPS14,RPS15,RPS16,RPS17,RPS19,RPS21,RPS24,RPS28,RPS6,RPS7,RPS8,RPSA,RPUSD1,RPUSD2,RPUSD3,RPUSD4,RRP7A,RRP9,RRS1,SARS2,SARS,SART1,SBDS,SEH1L,SIRT7,SKIV2L2,SMAD1,SMAD2,SMAD3,SMN1,SMN2,SNAPC2,SNAPC3,SNAPC4,SNRPB,SNRPD1,SNRPD2,SNRPD3,SNRPE,SNRPF,SNRPG,SNUPN,SPIN1,SRFBP1,SRRT,SSB,TAF1B,TARBP1,TARBP2,TARS2,TARS,TBL3,TDRKH,TGS1,THG1L,TP53RK,TPRKB,TPR,TRDMT1,TRIT1,TRMT112,TRMT11,TRMT12,TRMT1,TRMT5,TRMT61A,TRMT61B,TRMT6,TRMU,TRNT1,TRUB1,TSEN15,TSEN2,TSEN34,TSEN54,TSR2,TUT1,TYW1,TYW3,UBA5,URM1,UTP11L,UTP20,UTP23,UTP3,UTP6,VARS2,VARS,WARS2,WARS,WDR12,WDR3,WDR46,WDR4,WDR55,WDR77,XPOT,XRN1,YARS2,YARS,YRDC,ZBTB8OS,ZC3H8,ZCCHC11
REGULATION OF RESPONSE TO WOUNDING%GOBP%GO:1903034	REGULATION OF RESPONSE TO WOUNDING	0.01588124904111	0.0711681333110262	1	A2M,ACE2,ADAM8,ADAMTS12,ADRA2A,AGT,ANO6,ANXA1,APOA1,APOD,APOE,ARFGEF1,BCL6,BIRC2,BIRC3,BRD4,C1QBP,C1QTNF1,C1QTNF3,C2,C3,C4A,C5,C7,CAPN3,CASK,CASP1,CASP4,CAV1,CCL11,CCL13,CCL14,CCL18,CCL2,CCL3L1,CCL3,CCL4L2,CCL4,CCL5,CCL7,CCL8,CCR2,CCR7,CD109,CD34,CD46,CD55,CD59,CD6,CFB,CFH,CFI,CFP,CHID1,CLASP1,CLASP2,CR1,CUEDC2,CX3CL1,EDN1,ENPP4,EPHA4,F12,F2RL1,F2R,F3,FAM46A,FCER1G,FEM1A,FGF2,FOXA2,FOXP1,GATA3,GBA,GBP5,GGT1,GPRC5B,GSN,GSTP1,HBEGF,HCK,HLA-DRB1,HPSE,HRAS,HYAL2,IL15,IL18,IL1B,IL23A,IL33,IL6ST,IL6,JAK2,KANK1,KLF4,KLK8,LBH,LYN,MAPK13,MAPK14,MAPK7,METRNL,MGLL,MTA1,MVK,MYD88,MYLK,NLRP1,NLRP3,NOD2,NOS3,NOV,NR1D2,NR1H3,OSMR,OSM,PARK7,PDE2A,PDGFA,PDGFB,PDGFRA,PER1,PHB2,PHB,PHLDB2,PIK3AP1,PLA2G2A,PLA2G7,PLAT,PLAUR,PLAU,PLEK,PPAP2B,PPARA,PRKCA,PRKCD,PRKCE,PRKCQ,PRKG1,PROS1,PSMA6,PTGER3,PTGER4,PTGIS,PTGS2,PTPN2,RELA,RORA,RPS19,RREB1,S100A8,S100A9,SAA1,SBNO2,SCARF1,SELP,SEMA7A,SERPINB2,SERPINE1,SERPINE2,SERPINF2,SERPING1,SETD6,SHARPIN,SHPK,SNX4,SNX6,SOX15,STK24,STX2,STXBP5,SUSD4,SYK,TC2N,TEC,TEK,THBD,THBS1,TLR2,TLR3,TLR4,TLR7,TLR9,TMPRSS6,TNFAIP3,TNFAIP6,TNFAIP8L2,TNFRSF11A,TNFRSF12A,TNFRSF1A,TNFSF4,TNF,TNIP1,TXK,TYRO3,USF1,VAMP2,VAMP3,VAMP7,VAMP8,VAV2,VEGFB,WNT5A,XCL1,XCL2,XIAP,ZAP70,ZP3
NEGATIVE REGULATION OF EPITHELIAL TO MESENCHYMAL TRANSITION%GOBP%GO:0010719	NEGATIVE REGULATION OF EPITHELIAL TO MESENCHYMAL TRANSITION	0.0159248708645011	0.0712951272388652	1	DAB2IP,EFNA1,FOXA1,FOXA2,FUZ,HPN,MAD2L2,OVOL2,PBLD,PPP2CA,SDHAF2,SFRP1,SFRP2,SMAD7,STRAP,VASN
TRNA PROCESSING IN THE NUCLEUS%REACTOME%R-HSA-6784531.2	TRNA PROCESSING IN THE NUCLEUS	0.0160110297834137	0.0716121322527563	-1	AAAS,C14orf166,C2orf49,CLP1,CPSF1,CPSF4,CSTF2,DDX1,ELAC2,FAM98B,NUP107,NUP133,NUP153,NUP155,NUP160,NUP188,NUP205,NUP210,NUP214,NUP35,NUP37,NUP43,NUP50,NUP54,NUP62,NUP85,NUP88,NUP93,NUPL2,POM121,POP1,POP4,POP5,POP7,RAE1,RANBP2,RAN,RPP14,RPP21,RPP25,RPP30,RPP38,RPP40,TPR,TRNT1,TSEN15,TSEN2,TSEN34,TSEN54,XPOT,ZBTB8OS
REGULATION OF NUCLEOTIDE METABOLIC PROCESS%GOBP%GO:0006140	REGULATION OF NUCLEOTIDE METABOLIC PROCESS	0.016094658987896	0.0719172262246504	1	ABCA1,ADCY7,ADM,ADORA2A,ADORA2B,ADRA2A,ADRB2,AKAP12,AKAP5,AKAP6,APLP1,APOE,ARNT,ATP7A,ATPIF1,AVPR2,BPGM,CALCRL,CALM1,CALM2,CALM3,CAP1,CAP2,CBFA2T3,CCR2,CDA,CXCL10,CXCL11,CXCL9,CXCR3,DRD2,DRD4,ECD,EDNRA,EDNRB,EGLN1,ENTPD5,FBP1,FLCN,FZD2,GABBR1,GABBR2,GCK,GNAI2,GNAI3,GNAS,GNB2L1,GPR161,GPR65,GSK3A,HDAC4,HIF1A,IGF1,INSR,LTB4R2,MAPK7,MC1R,ME1,ME2,MLXIPL,MRAP2,NCOR1,NF1,NOS3,NTRK2,OGT,P2RX7,P2RY11,PALM,PARK7,PDE2A,PGAM1,PGAM2,PGAM4,PID1,PINK1,PKD2,PPARA,PPIF,PRKAA1,PRKAA2,PRKAG1,PRKAG2,PRKCA,PTGIR,PTHLH,RAF1,RAMP1,RAMP2,RAPGEF3,SLC25A33,SNCA,THBS1,VCP,VEGFA,WNT5A
MITOCHONDRIAL TRNA AMINOACYLATION%REACTOME%R-HSA-379726.1	MITOCHONDRIAL TRNA AMINOACYLATION	0.0162637239406218	0.0722640010048978	-1	AARS2,CARS2,DARS2,EARS2,FARS2,GARS,HARS2,IARS2,KARS,LARS2,MARS2,NARS2,PARS2,PPA2,QARS,RARS2,SARS2,TARS2,VARS2,WARS2,YARS2
CELLULAR PROTEIN COMPLEX ASSEMBLY%GOBP%GO:0043623	CELLULAR PROTEIN COMPLEX ASSEMBLY	0.0162870218701576	0.0722640010048978	-1	AARS2,ACAD9,ADRB2,ADRM1,AHCTF1,AIF1,AIFM1,AKAP9,ANGPT1,ANG,ANLN,AP2S1,ARHGAP6,ARL2,ARL6,ARMC4,ATP6V0A1,ATP6V0A2,ATPAF1,ATPAF2,AXIN1,BBS10,BBS12,BCS1L,BLOC1S2,CALR,CAND1,CAND2,CCDC103,CCDC114,CCDC151,CCDC40,CCL5,CCT2,CCT6B,CD3E,CENPA,CENPE,CENPF,CENPJ,CENPT,CENPW,CHCHD5,CHMP2A,CHMP4A,CLASP1,CLASP2,CLU,COBLL1,COBL,COG4,CORO7,COX10,COX11,COX15,COX18,COX19,CSNK1D,CSNK2B,CYBA,DMD,DNAH1,DNAH5,DNAH7,DNAJC28,DNM1L,DYX1C1,EFNA5,EID2,EPS15,EXOC2,EXOC8,FCHO1,FCHO2,FGF13,FKBP1A,FMOD,FOXRED1,GOLGA2,GSN,HIP1,HLA-DMA,HLA-DMB,HLA-DRA,HLA-DRB1,HSP90AA1,HSPA4,HSPD1,IMMP1L,IMMP2L,IPO4,IPO5,JAK2,KIF13A,KPNB1,LONP1,LRRC6,MAF1,MAP7D3,MAPK8IP2,MICALL2,MID1IP1,MIS12,MSRB2,MYH11,NCK1,NCK2,NDE1,NDEL1,NDUFAF3,NDUFAF4,NDUFS4,NDUFS5,NDUFS7,NDUFS8,NRG3,NUBPL,NUP107,NUP153,NUP205,NUP93,NUP98,OXA1L,PARK2,PDE4DIP,PFDN6,PICALM,PIK3C2A,PILRB,POGZ,POMP,PREX1,PRLR,PSMD10,PSMD11,PSMD13,PSMD4,PSMD5,PSMD8,PSMD9,PSMG1,PSMG2,PXN,RAB1A,RAC1,RANBP6,RANBP9,SAMM50,SDHAF1,SLAIN2,SLC25A33,SMAD1,SMAD2,SMAD3,SMAD4,SNAP23,SNAP25,SNAP29,SNAP47,SPAG1,SRC,SRP54,SURF1,SYNJ1,TAZ,TBC1D20,TBCD,TCIRG1,TCP1,TGFB1,TMED10,TMED2,TMEM33,TMEM70,TNPO1,TNPO2,TOMM20,TPPP,TPR,TRAF2,TRIM6,TRPV4,TTC17,TTC19,TTN,TUBGCP2,TUBGCP3,TUBGCP4,TUBGCP5,TUBGCP6,UBE2C,UBE2K,UBE2S,UNC13B,UVRAG,VAMP4,VBP1,VMA21,WASF1,WASF3,ZFYVE9,ZMYND10,ZNF207
TRNA AMINOACYLATION FOR PROTEIN TRANSLATION%GOBP%GO:0006418	TRNA AMINOACYLATION FOR PROTEIN TRANSLATION	0.0162959754370108	0.0722640010048978	-1	AARS2,AARS,AIMP1,AIMP2,CARS2,CARS,DARS2,DARS,EARS2,EEF1E1,EPRS,FARS2,FARSA,FARSB,FDXACB1,GARS,HARS2,HARS,IARS2,IARS,KARS,LARS2,LARS,LRRC47,MARS2,MARS,NARS2,NARS,PARS2,POLG2,PPA1,PPA2,QARS,RARS2,RARS,SARS2,SARS,TARS2,TARS,VARS2,VARS,WARS2,WARS,YARS2,YARS
SIGNALING BY HEDGEHOG%REACTOME%R-HSA-5358351.2	SIGNALING BY HEDGEHOG	0.0163007589421564	0.0722640010048978	-1	ADAM17,ADCY1,ADCY3,ADCY4,ADCY5,ADCY6,ADCY7,ADCY9,ADRBK1,ARRB1,ARRB2,BOC,BTRC,CDC73,CDON,CSNK1A1,CUL1,CUL3,DERL2,DISP2,DYNC2H1,DZIP1,EFCAB7,ERLEC1,EVC2,EVC,FUZ,GAS1,GAS8,GLI2,GLI3,GNAS,GPR161,GSK3B,HHAT,IFT122,IFT140,IFT172,IFT52,IFT57,IFT88,INTU,IQCE,ITCH,KIF3A,KIF7,MKS1,NOTUM,NUMB,OFD1,OS9,P4HB,PRKACA,PRKACB,PRKAR1A,PRKAR1B,PRKAR2A,PRKAR2B,PSMA1,PSMA2,PSMA3,PSMA4,PSMA5,PSMA6,PSMA7,PSMB10,PSMB1,PSMB2,PSMB3,PSMB4,PSMB5,PSMB6,PSMB7,PSMB8,PSMB9,PSMC1,PSMC2,PSMC3,PSMC4,PSMC5,PSMC6,PSMD10,PSMD11,PSMD12,PSMD13,PSMD14,PSMD1,PSMD2,PSMD3,PSMD4,PSMD5,PSMD6,PSMD7,PSMD8,PSMD9,PSME1,PSME2,PSME3,PSME4,PSMF1,PTCH1,RBX1,RPGRIP1L,RPS27A,SCUBE2,SEL1L,SKP1,SMO,SMURF1,SMURF2,SPOPL,SPOP,SUFU,SYVN1,TTC21B,TULP3,UBA52,UBB,UBC,ULK3,VCP,WDR19,WDR35
AXONOGENESIS%GOBP%GO:0007409	AXONOGENESIS	0.0163206780874969	0.0722640010048978	1	ABL1,ABL2,ABLIM1,ABLIM2,ABLIM3,ACTB,ACTG1,ACTR2,ACTR3,ADAM10,AGAP2,AGRN,AKAP9,ALCAM,ANGPT1,ANK2,ANK3,AP2A1,AP2A2,AP2B1,AP2M1,AP2S1,APBB1,APH1A,APH1B,APP,ARAF,ARHGAP39,ARHGEF11,ARHGEF12,ARHGEF7,ARPC1A,ARPC1B,ARPC2,ARPC3,ARPC4,ARPC5,ARTN,ATL1,BAIAP2,BDNF,BRAF,BRAP,BRSK1,BTC,CACNA1C,CACNA1D,CACNA1G,CACNA1H,CACNB1,CACNB3,CALM1,CALM2,CALM3,CAMK2B,CAMK2D,CAMK2G,CAP1,CAP2,CD72,CDC42,CDK5R1,CDK5,CFL1,CHL1,CHN1,CLASP1,CLASP2,CLTA,CNTN1,CNTN4,CNTNAP1,COBL,COL3A1,COL4A1,COL4A2,COL4A4,COL4A5,COL5A1,COL5A2,COL5A3,COL6A1,COL6A2,COL6A3,COL9A1,COL9A2,COL9A3,CREB1,CRMP1,CSF2RA,CSF2RB,CSNK2A1,CSNK2A2,CSNK2B,CTNNA2,CUL3,CXCL12,CYFIP1,DAB2IP,DLG1,DLG3,DLG4,DNM1,DOCK1,DOCK7,DPYSL2,DPYSL3,DPYSL4,DRD2,DSCAML1,DUSP5,DUSP6,DUSP7,DUSP9,ECM2,EFNA1,EFNA3,EFNA4,EFNA5,EFNB1,EFNB2,EFNB3,EGFR,ENAH,EPHA10,EPHA1,EPHA2,EPHA3,EPHA4,EPHA6,EPHB1,EPHB2,EPHB3,EPHB4,EPYC,ERBB2,ERBB3,ERBB4,EVL,EZR,FARP2,FES,FEZ1,FEZ2,FGF18,FGF1,FGF2,FGF7,FGF9,FGFR1,FGFR2,FGFR3,FGFR4,FMOD,FRS2,FRS3,FYN,GFRA1,GIT1,GLI2,GPC1,GRB2,GRIN2A,GRIN2D,GSK3B,HBEGF,HRAS,HSP90AA1,HSP90AB1,HSPA8,IL17RD,IL2RA,IL2RB,IL2RG,IL3RA,IRS1,IRS2,ITGA10,ITGA1,ITGA2B,ITGA2,ITGA5,ITGA9,ITGAV,ITGB1,ITGB3,ITSN1,JAK1,JAK2,JAK3,KALRN,KBTBD7,KCNQ3,KIF26A,KIF26B,KIF4A,KIF5A,KIF5B,KIF5C,KITLG,KIT,KRAS,KSR1,L1CAM,LAMA1,LAMB1,LAMC1,LAT,LHX1,LIMK1,LINGO1,LLGL1,LRFN1,LRFN3,LRFN4,LRRC55,LRRN1,LRRN2,LUM,LYN,MAP2K1,MAP2K2,MAPK1,MAPK3,MARK3,MET,MMP2,MMP9,MYH10,MYH11,MYH14,MYH9,MYL12A,MYL12B,MYL6,MYL9,MYO10,NCAM1,NCK1,NCK2,NCSTN,NEFH,NEO1,NF1,NFASC,NFIB,NGEF,NGFR,NLGN3,NRAS,NRCAM,NRG2,NRG4,NRP1,NRP2,NRTN,NRXN3,NTN1,NTN4,NTNG1,NTNG2,NUMB,OGN,OMD,OPHN1,PAFAH1B1,PAK1,PAK2,PAQR3,PARD3,PARD6B,PAX2,PDGFA,PDGFB,PDGFRA,PDGFRB,PEA15,PEBP1,PIP5K1C,PITPNA,PLCG1,PLXNA1,PLXNA2,PLXNA3,PLXNA4,PLXNB1,PLXNB2,PLXNB3,PLXNC1,PLXND1,PPP3CB,PPP5C,PRELP,PRKCQ,PRNP,PSEN2,PSENEN,PSMA1,PSMA2,PSMA3,PSMA4,PSMA5,PSMA6,PSMA7,PSMB10,PSMB1,PSMB2,PSMB3,PSMB4,PSMB5,PSMB6,PSMB7,PSMB8,PSMB9,PSMC1,PSMC2,PSMC3,PSMC4,PSMC5,PSMC6,PSMD10,PSMD11,PSMD12,PSMD13,PSMD14,PSMD1,PSMD2,PSMD3,PSMD4,PSMD5,PSMD6,PSMD7,PSMD8,PSMD9,PSME1,PSME2,PSME3,PSME4,PSMF1,PTEN,PTK2,PTPN11,PTPRA,PTPRC,PTPRM,PTPRO,RAB10,RAB8A,RAC1,RAC2,RAF1,RANBP9,RAPGEF2,RASA1,RASA2,RASA3,RASA4,RASAL1,RASAL2,RASAL3,RASGEF1A,RASGRF2,RASGRP1,RASGRP3,RASGRP4,RBX1,RELN,RGMA,RGMB,RHOA,RHOB,RHOC,RHOG,RND1,RNF165,ROBO1,ROBO2,ROBO3,ROCK1,ROCK2,RPS27A,RPS6KA1,RPS6KA2,RPS6KA3,RPS6KA4,RPS6KA5,RPS6KA6,RRAS,RTN4R,RTN4,S100A6,S100B,SCN1B,SCN5A,SDC2,SDCBP,SEMA3A,SEMA3B,SEMA3C,SEMA3E,SEMA3F,SEMA4A,SEMA4D,SEMA4F,SEMA5A,SEMA6A,SEMA6D,SEMA7A,SHC1,SHC2,SIAH1,SIAH2,SLC9A6,SLIT2,SLIT3,SLITRK2,SLITRK4,SLITRK5,SLITRK6,SOS1,SOS2,SPON2,SPRED1,SPTAN1,SPTBN1,SPTBN2,SPTBN4,SPTBN5,SPTB,SRC,SRGAP1,ST8SIA2,ST8SIA4,STXBP1,SYNGAP1,TEK,TIAM1,TLN1,TLR9,TREM2,TRIO,TRPC1,TRPC6,TUBB3,TYROBP,UBA52,UBB,UBC,ULK1,ULK2,UNC5A,UNC5B,UNC5C,USP33,USP9X,VASP,VAV2,VAV3,VEGFA,WASL,WDR83,WNT5A,YES1,YWHAB,ZNF280B,ZNF280C,ZNF280D
